frame,range_bin,doppler_bin,angle_rad,snr
0.000000,115.000000,4.000000,-0.201358,74.435837
2.000000,138.000000,9.000000,0.201358,96.306732
2.000000,140.000000,9.000000,-0.000000,96.325706
2.000000,137.000000,9.000000,-0.643501,96.402779
2.000000,131.000000,8.000000,-0.411517,101.087585
2.000000,130.000000,8.000000,0.000000,101.040634
2.000000,133.000000,8.000000,-0.000000,101.166542
2.000000,134.000000,8.000000,-0.000000,101.162094
2.000000,96.000000,8.000000,0.000000,101.253296
2.000000,94.000000,8.000000,0.000000,101.187454
2.000000,126.000000,8.000000,-0.643501,101.086502
2.000000,125.000000,8.000000,0.000000,100.915634
2.000000,149.000000,9.000000,0.927295,96.541908
2.000000,91.000000,8.000000,-0.643501,101.207520
2.000000,117.000000,8.000000,-0.927295,101.198624
2.000000,116.000000,8.000000,-0.927295,101.180664
2.000000,111.000000,8.000000,-0.000000,101.186920
2.000000,110.000000,8.000000,-0.000000,101.202507
2.000000,109.000000,8.000000,-0.643501,101.200180
2.000000,108.000000,8.000000,0.000000,101.107841
2.000000,107.000000,8.000000,-0.000000,101.125336
2.000000,106.000000,8.000000,-0.000000,101.202820
2.000000,105.000000,8.000000,-0.927295,101.168823
2.000000,104.000000,8.000000,-0.000000,101.090858
2.000000,103.000000,8.000000,-0.000000,101.088196
2.000000,93.000000,8.000000,-0.201358,101.061798
2.000000,92.000000,8.000000,-0.927295,101.077194
2.000000,102.000000,8.000000,-0.411517,101.158852
2.000000,101.000000,8.000000,-0.643501,101.150291
2.000000,100.000000,8.000000,0.000000,101.054466
2.000000,99.000000,8.000000,-0.000000,101.037903
2.000000,98.000000,8.000000,-0.000000,101.227318
2.000000,95.000000,8.000000,0.000000,101.239609
2.000000,90.000000,8.000000,-1.570796,101.261414
2.000000,149.000000,8.000000,-0.000000,101.752899
2.000000,148.000000,8.000000,-0.411517,101.435059
2.000000,147.000000,8.000000,0.000000,101.417892
2.000000,146.000000,8.000000,-0.000000,101.477173
2.000000,145.000000,8.000000,-0.201358,101.321404
2.000000,144.000000,8.000000,-0.000000,101.291687
2.000000,143.000000,8.000000,-0.000000,101.541313
2.000000,142.000000,8.000000,-0.411517,101.543961
2.000000,141.000000,8.000000,-0.000000,101.485741
2.000000,139.000000,8.000000,-0.000000,101.437065
