# range_bin,doppler_bin,angle_deg,snr,zone_flag
73.0,8,0.4,95.4,0
126.0,8,-0.1,95.4,1
57.0,8,0.1,95.4,0
159.0,8,0.0,95.4,0
118.0,8,-0.1,95.5,1
117.0,8,-0.6,95.5,1
44.0,8,0.0,95.4,0
87.0,8,0.2,95.5,0
149.0,8,-0.1,95.5,1
180.0,8,-0.1,95.6,0
181.0,9,0.1,95.6,0
54.0,8,0.3,95.6,0
48.0,8,1.0,95.6,0
174.0,8,-0.5,95.6,0
72.0,8,0.2,95.6,0
154.0,8,-0.2,95.5,0
152.0,8,-0.3,95.5,0
119.0,8,-0.3,95.5,1
121.0,8,0.3,95.5,1
116.0,8,-2.3,95.6,1
120.0,8,0.1,95.7,1
124.0,8,0.4,95.9,1
125.0,8,0.7,95.9,1
128.0,8,0.7,95.7,1
129.0,8,0.8,95.9,1
192.0,8,-2.2,96.7,0
136.0,8,2.6,95.8,1
137.0,8,2.9,95.7,1
142.0,8,1.1,96.3,1
143.0,8,1.1,96.4,1
144.0,8,1.3,95.7,1
145.0,8,1.6,96.0,1
146.0,8,2.1,96.4,1
147.0,8,2.6,96.0,1
148.0,8,2.7,95.7,1
150.0,8,0.7,95.8,0
151.0,8,-0.4,95.8,0
153.0,8,-2.4,95.7,0
156.0,8,-1.9,95.8,0
162.0,8,4.1,95.8,0
163.0,8,3.7,96.0,0
164.0,8,3.4,96.1,0
165.0,8,3.5,95.8,0
168.0,8,6.2,96.3,0
169.0,8,7.1,96.5,0
170.0,8,8.0,96.1,0
175.0,8,-26.7,95.8,0
176.0,8,-34.6,95.8,0
181.0,8,-5.8,96.3,0
182.0,8,1.7,95.9,0
183.0,8,8.9,95.9,0
184.0,8,14.7,95.9,0
185.0,8,17.1,96.2,0
186.0,8,14.7,97.7,0
187.0,8,6.0,97.3,0
47.0,8,10.6,95.7,0
46.0,8,8.1,95.8,0
45.0,8,6.7,95.7,0
188.0,8,-4.8,96.5,0
189.0,8,-10.4,96.3,0
190.0,8,-11.4,96.0,0
191.0,8,-9.6,96.3,0
115.0,7,10.1,95.8,1
193.0,8,2.3,96.5,0
158.0,8,0.1,101.4,0
45.0,8,0.2,101.5,0
120.0,8,0.1,101.5,1
126.0,8,-0.1,101.5,1
127.0,8,-0.1,101.5,1
61.0,8,0.2,101.4,0
50.0,8,0.1,101.5,0
132.0,8,-0.1,101.5,1
133.0,8,-0.2,101.4,1
118.0,8,-0.1,101.5,1
116.0,8,-0.3,101.5,1
159.0,8,0.2,101.5,0
72.0,8,0.1,101.5,0
48.0,8,0.3,101.5,0
155.0,8,-0.1,101.5,0
136.0,8,0.1,101.6,1
180.0,8,-0.2,101.6,0
151.0,8,0.2,101.7,0
125.0,8,-0.2,101.6,1
150.0,8,0.5,101.6,0
149.0,8,0.6,101.7,1
144.0,8,0.0,101.9,1
145.0,8,0.2,102.1,1
146.0,8,0.4,102.3,1
147.0,8,0.7,102.0,1
148.0,8,1.0,101.8,1
183.0,8,0.8,101.9,0
185.0,8,1.5,102.0,0
143.0,8,0.3,102.4,1
142.0,8,0.2,102.1,1
182.0,8,0.7,101.8,0
60.0,8,0.2,101.7,0
152.0,8,-0.2,101.7,0
153.0,8,-1.1,101.8,0
154.0,8,-1.6,101.7,0
181.0,8,0.8,102.4,0
156.0,8,-1.1,102.3,0
157.0,8,0.4,101.9,0
139.0,8,1.1,102.3,1
138.0,8,1.6,101.9,1
162.0,8,3.1,101.9,0
129.0,8,5.1,101.8,1
49.0,8,-0.7,101.7,0
128.0,8,6.0,101.7,1
47.0,8,-0.6,101.8,0
46.0,8,-0.7,101.7,0
175.0,8,-2.1,101.8,0
163.0,8,4.0,102.2,0
164.0,8,3.1,102.1,0
165.0,8,1.8,101.7,0
176.0,8,4.8,102.2,0
193.0,8,0.5,102.4,0
192.0,8,-3.1,102.5,0
168.0,8,-1.0,102.1,0
169.0,8,-1.5,102.3,0
170.0,8,-4.5,102.1,0
191.0,8,-5.3,102.3,0
177.0,8,36.1,101.8,0
190.0,8,-5.7,102.4,0
189.0,8,-1.7,102.7,0
188.0,8,7.6,102.0,0
187.0,8,14.1,101.9,0
186.0,8,16.2,102.7,0
184.0,8,16.2,102.0,0
45.0,8,0.2,101.4,0
171.0,8,-0.1,101.4,0
158.0,8,-0.0,101.4,0
137.0,8,0.1,101.5,1
48.0,8,0.2,101.5,0
127.0,8,-0.2,101.5,1
150.0,8,0.1,101.5,0
187.0,8,-0.1,101.5,0
50.0,8,0.0,101.5,0
167.0,8,0.2,101.5,0
132.0,8,-0.1,101.6,1
133.0,8,-0.3,101.5,1
120.0,8,0.2,101.5,1
118.0,8,-0.0,101.5,1
116.0,8,-0.3,101.5,1
149.0,8,0.3,101.5,1
126.0,8,-0.1,101.5,1
152.0,8,0.1,101.6,0
136.0,8,0.1,101.6,1
165.0,8,-0.6,101.6,0
60.0,8,0.1,101.6,0
129.0,8,0.5,101.7,1
153.0,8,-0.2,101.6,0
162.0,8,0.9,101.8,0
144.0,8,0.0,101.8,1
125.0,8,-0.1,101.7,1
188.0,8,-1.8,101.9,0
182.0,8,0.6,101.8,0
175.0,8,-0.3,101.8,0
148.0,8,1.5,101.7,1
159.0,8,1.7,101.6,0
49.0,8,-0.2,101.7,0
157.0,8,-0.0,101.7,0
47.0,8,-0.1,101.7,0
46.0,8,-0.2,101.7,0
177.0,8,0.7,101.8,0
151.0,8,1.4,101.6,0
154.0,8,-2.6,101.6,0
180.0,8,1.4,101.7,0
128.0,8,3.3,101.7,1
145.0,8,5.2,102.0,1
170.0,8,0.9,102.1,0
169.0,8,1.1,102.3,0
168.0,8,0.6,102.2,0
164.0,8,1.8,102.1,0
163.0,8,3.8,102.1,0
156.0,8,-2.0,102.1,0
147.0,8,13.1,102.0,1
193.0,8,1.7,102.4,0
192.0,8,-2.8,102.5,0
191.0,8,-7.1,102.3,0
190.0,8,-11.1,102.4,0
189.0,8,-13.8,102.7,0
146.0,8,22.1,102.2,1
138.0,8,4.6,102.0,1
186.0,8,9.5,102.4,0
185.0,8,9.8,102.0,0
184.0,8,9.5,102.1,0
183.0,8,9.5,102.1,0
139.0,8,5.8,102.4,1
181.0,8,12.5,102.3,0
142.0,8,16.2,102.1,1
143.0,8,23.5,102.3,1
176.0,8,70.0,102.3,0
120.0,8,-0.0,101.5,1
48.0,8,0.3,101.5,0
71.0,8,0.1,101.5,0
160.0,8,0.2,101.5,0
45.0,8,0.1,101.5,0
154.0,8,0.1,101.5,0
118.0,8,-0.0,101.5,1
72.0,8,0.1,101.5,0
127.0,8,-0.1,101.6,1
182.0,8,0.2,101.5,0
117.0,8,-0.1,101.6,1
167.0,8,0.3,101.6,0
133.0,8,-0.2,101.6,1
165.0,8,-0.3,101.6,0
126.0,8,-0.1,101.6,1
149.0,8,0.4,101.6,1
157.0,8,-0.2,101.6,0
137.0,8,0.1,101.7,1
60.0,8,0.2,101.7,0
49.0,8,0.0,101.7,0
177.0,8,0.1,101.7,0
47.0,8,0.1,101.7,0
132.0,8,0.6,101.7,1
46.0,8,0.0,101.7,0
150.0,8,0.8,101.7,0
159.0,8,0.5,101.7,0
152.0,8,0.3,101.7,0
148.0,8,1.3,101.7,1
129.0,8,1.2,101.8,1
128.0,8,1.0,101.8,1
136.0,8,1.3,101.8,1
175.0,8,-0.4,101.9,0
151.0,8,1.1,101.8,0
125.0,8,0.4,101.8,1
116.0,8,-0.0,101.9,1
162.0,8,1.4,101.9,0
153.0,8,-0.5,101.7,0
