# range_bin,doppler_bin,angle_deg,snr,zone_flag
114.0,8,-0.4,95.2,1
120.0,8,0.1,95.2,1
118.0,8,-0.1,95.2,1
110.0,8,-0.3,95.2,1
175.0,8,-0.0,95.2,0
64.0,8,0.4,95.2,0
144.0,8,0.5,95.2,1
145.0,8,0.1,95.3,1
56.0,8,0.1,95.3,0
154.0,8,0.2,95.3,0
187.0,8,-0.4,95.2,0
77.0,8,0.1,95.3,0
58.0,8,0.3,95.3,0
138.0,7,0.3,95.3,1
140.0,8,-0.1,95.3,1
63.0,8,0.2,95.5,0
62.0,8,0.0,95.8,0
61.0,8,-0.1,95.3,0
65.0,8,0.7,95.3,0
59.0,8,0.2,95.4,0
164.0,8,1.1,95.8,0
163.0,8,0.8,96.2,0
162.0,8,0.6,96.5,0
161.0,8,0.3,96.0,0
73.0,8,-0.4,95.7,0
74.0,8,-0.4,96.5,0
75.0,8,-0.4,96.0,0
139.0,8,-0.4,96.3,1
79.0,8,0.1,95.4,0
80.0,8,-0.1,95.4,0
151.0,8,0.6,96.1,0
150.0,8,0.1,95.9,0
149.0,8,-0.6,95.5,1
148.0,8,-1.3,95.7,1
164.0,9,1.9,95.5,0
147.0,8,-2.1,95.7,1
146.0,8,-2.5,95.6,1
43.0,8,-1.0,95.4,0
42.0,8,-2.4,95.4,0
142.0,8,-79.3,95.4,1
169.0,8,-1.1,95.4,0
141.0,8,-4.4,95.3,1
125.0,8,-2.8,95.8,1
126.0,8,-1.6,96.1,1
127.0,8,-0.3,95.6,1
128.0,8,1.4,95.3,1
193.0,8,26.5,96.4,0
129.0,8,4.5,95.3,1
132.0,8,7.9,95.8,1
192.0,8,30.4,95.4,0
133.0,8,3.6,95.5,1
134.0,8,1.8,95.4,1
135.0,8,0.9,95.8,1
136.0,8,0.2,95.7,1
186.0,8,22.5,95.5,0
185.0,8,25.2,95.6,0
137.0,8,-0.5,96.6,1
180.0,8,7.7,95.7,0
179.0,8,7.3,95.8,0
138.0,8,-1.2,97.3,1
178.0,8,8.3,95.6,0
177.0,8,10.0,95.8,0
176.0,8,12.7,95.7,0
76.0,8,-2.5,95.6,0
154.0,8,0.1,101.1,0
183.0,8,-0.7,101.1,0
55.0,8,0.0,101.1,0
157.0,8,-0.0,101.2,0
169.0,8,-0.3,101.2,0
78.0,8,0.2,101.2,0
174.0,8,0.1,101.2,0
134.0,8,-0.1,101.2,1
158.0,8,-0.2,101.2,0
175.0,8,0.1,101.2,0
56.0,8,0.1,101.2,0
178.0,8,-0.1,101.2,0
145.0,8,0.1,101.2,1
182.0,8,-0.7,101.2,0
127.0,8,-0.1,101.2,1
181.0,8,-0.7,101.2,0
176.0,8,0.2,101.3,0
184.0,8,-0.3,101.3,0
128.0,8,-0.1,101.3,1
80.0,8,0.4,101.2,0
79.0,8,0.4,101.3,0
170.0,8,-0.4,101.3,0
168.0,8,-0.3,101.4,0
61.0,8,-0.0,101.3,0
150.0,8,0.5,101.3,0
148.0,8,0.1,101.4,1
147.0,8,-0.1,101.3,1
59.0,8,0.2,101.3,0
125.0,8,-0.9,101.4,1
